vessel_name,year,vessel_type,attack_type,place,region
Lapin 2015,1,5,3,9,2
Ocean,1,5,3,9,2
Petro,1,5,4,9,2
Joaquim,1,5,3,9,2
KHF,1,1,3,9,2
Songa,1,5,4,4,2
Kien 1,1,12,4,4,2
Kien 8,1,13,4,4,2
Musanah,1,5,4,4,2
BW,1,12,4,4,2
Bayswater,1,13,4,4,2
Mineral Fatih,1,3,4,4,2
Egret,1,3,4,4,2
Fujitrans,1,10,4,4,2
White coral ,1,3,4,4,2
Sun Birdie,1,5,3,5,2
Rehobot,1,5,3,4,2
Amber Halo,1,3,4,4,2
Name withheld,1,3,4,4,2
Global Aquarius,1,3,4,4,2
Bridgegate,1,3,4,4,2
Sea Star,1,3,4,4,2
phubai pattra 1 ,1,5,3,5,2
Amber Beverly,1,3,4,4,2
LBC Earth,1,3,4,4,2
Cape Mercurry,1,3,4,4,2
NYK Daniella,1,4,4,4,2
Singa Berlian,1,5,3,4,2
Ore Pantanal   ,1,3,4,9,2
Songa Peace,1,5,4,4,2
Union Eplorer,1,3,4,4,2
Captean Giorgis,1,3,4,8,2
MSC Vancouver,1,4,4,4,2
David Tide 2,1,12,3,5,2
Micyln 259,1,13,3,5,2
Global Trinity,1,3,4,13,2
Aqua Terra7,1,5,4,4,2
United Treasure ,1,3,4,4,2
Nautica Kota ,1,5,4,4,2
Densa Havk,1,3,4,4,2
Dongfang ,1,5,3,4,2
New Frontier,1,5,4,4,2
Voge Fantasy ,1,2,4,5,2
Grand Rodosi ,1,3,4,4,2
Alam Suria ,1,3,4,4,2
Name Withheld ,1,5,4,4,2
Xuan Hieu Group ,1,3,4,5,2
Kara Sea ,1,5,4,4,2
Great Ocean ,1,3,4,4,2
Hugli Spirit ,1,5,4,5,2
Frontier Youth ,1,3,4,5,2
Medi Yokohama,1,3,4,9,2
Sicilia,1,4,4,9,2
CS Calvina ,1,3,4,4,2
Maritime Champion ,1,3,4,4,2
Saga Journey ,1,2,4,9,2
Tiger West ,1,3,4,9,2
Milos Warrior,1,3,4,4,2
Overseas Athens ,1,5,4,4,2
Name Withheld ,1,5,3,5,2
Epic Sasa 2 ,1,12,4,9,2
Poe Giant 19 ,1,13,4,9,2
Jin-Ei ,1,5,4,4,2
Maersk Tacoma ,1,5,4,4,2
STI Ruby ,1,5,4,14,2
Okyalos ,1,3,4,4,2
MTT Tawau ,1,4,4,4,2
Orkim Victory ,1,5,3,5,2
Name Withheld ,1,5,4,4,2
Orkim Harmony ,1,5,3,5,2
Water Lily ,1,3,4,4,2
Harbour Trader ,1,12,4,4,2
Harbour Jupiter ,1,13,4,4,2
Clipper Posh ,1,5,4,4,2
Pro Triumph,1,5,4,4,2
Densa Shark ,1,3,4,4,2
Great Hope ,1,3,4,4,2
Birch 6  ,1,3,4,4,2
Ocean Trader I ,1,3,4,4,2
F. D. Angelica ,1,3,4,4,2
Pistis,1,3,4,4,2
Giorgos Dracopoulos ,1,3,4,4,2
Te Ho ,1,3,4,4,2
Leonid Loza ,1,5,4,4,2
TH Serenade ,1,5,4,14,2
Olympic Spirit II ,1,5,4,4,2
Sinar Bandung ,1,4,4,4,2
Rutland ,1,3,4,4,2
Diamond Eternity ,1,5,4,4,2
Silver Dubai ,1,5,4,14,2
Matrah,1,5,4,4,2
Lion King ,1,12,4,9,2
Maritime East ,1,13,4,9,2
Slettnes,1,3,4,4,2
Name Withheld ,1,5,4,4,2
Spring Sky ,1,3,4,4,2
Zaliv Amerika ,1,5,4,4,2
Federal Crimson ,1,3,4,4,2
Overseas Alcesmar ,1,5,4,4,2
Matar N ,1,4,4,4,2
Ibn Al Abbar ,1,4,4,4,2
CPO Norfolk ,1,4,4,4,2
Pacific Assurance ,1,3,4,4,2
Tintomara,1,5,4,14,2
Navig8 Stealth S.V. ,1,5,4,4,2
Maersk Lebu ,1,4,4,4,2
Name Withheld,1,5,4,4,2
Peace Bright ,1,3,4,4,2
Atout,1,4,4,4,2
Aquajoy ,1,3,4,4,2
Princimar Pride ,1,5,4,9,2
Yorkgate ,1,3,4,4,2
Ratna Puja ,1,5,4,4,2
MOL Brightness ,1,4,4,4,2
Crest Jade 1 ,1,12,4,4,2
