vessel_name,year,vessel_type,attack_type,place,coord,latitude,longitude,distance
Maratha Promise,2016,Bulk Carrier,Boarded,"Tg. Priok,",06:00.6S –106:54.0E,-6.001666666666667,106.9,20.059573644977892
Name Withheld,2016,Product Tanker,Boarded,Samudra Jetty No.,01:26.31N –125:11.47E,1.4419444444444445,125.19638888888889,7.5853942816865105
Brahma 12,2016,Tug Indonesia,Hijacked,11nm WSW of,04:48.56N –119:12.53E,4.815555555555555,119.21472222222222,21.948786550719426
Massive 6,2016,Tug Malaysia,Boarded,Around 17nm,04:07.56N –118:55.76E,4.132222222222222,118.93777777777778,43.7226019103602
Frontier Hero,2016,Bulk Carrier,Boarded,Samarinda,00:15.2S –117:34.8E,-0.25055555555555553,117.56888888888888,18.556982482797974
Cougar,2016,Container,Boarded,Jakarta,05:59.4S –106:54.3E,-5.984444444444445,106.90083333333334,21.883810782861893
Henry,2016,Tug Indonesia,Boarded,Around 4.3nm SE,04:31.26N –119:00.00E,4.523888888888889,119.0,35.27140264216576
J.F.J. De Nul,2016,Dredger,Boarded,Batu Ampar,01:09.35N –103:56.68E,1.159722222222222,103.95222222222223,4.578698117787938
Hai Soon 12,2016,Product Tanker,Hijacked,Around 21nm,02:04.48S –108:39.27E,-2.08,108.6575,98.8936335441039
Torm Ragnhild,2016,Product Tanker,Boarded,Jakarta Tanker,06:02.5S –106:54.0E,-6.034722222222222,106.9,16.554127971560458
Ever Prosper,2016,Tug Malaysia,Hijacked,Around 11nm,03:07.24N –112:35.14E,3.1233333333333335,112.58722222222222,21.916757229739503
UACC Marah,2016,Product Tanker,Boarded,Dumai,01:41.9N –101:29.2E,1.6858333333333333,101.48388888888888,1.7358347370142087
Vishva Nidhi,2016,Bulk Carrier,Boarded,Taboneo,03:41.17S –114:25.20E,-3.6880555555555556,114.42222222222223,22.09239639916061
SBI Thalia,2016,Bulk Carrier,Boarded,Samarinda,00:13.4S –117:33.9E,-0.2177777777777778,117.5525,19.670452654164347
AD Matsu,2016,Asphalt Tanker,Boarded,Around 32nm SE,02:00.9N –104:52.9E,2.0025,104.86916666666666,84.74594154652752
Maersk Torshavn,2016,Product Tanker,Boarded,New Davao Oil,07:09.7N –125:39.6E,7.151944444444445,125.65166666666667,4.315816723465613
Camila,2016,Bulk Carrier,Boarded,Dumai Inner,01:43.3N –101:26.0E,1.7175,101.43333333333334,4.263967718127402
Taurus Sun,2016,Tanker,Boarded,Dumai Inner,01:41.8N –101:29.7E,1.6855555555555555,101.48527777777778,1.8609856055333762
Lady Melinda,2016,Offshore Tug,Boarded,"Galang,",00:43.5N –104:10.5E,0.7180555555555556,104.16805555555555,36.773414799299985
Trident Challenger,2016,Bulk Carrier,Boarded,Hon Gai,20:41.15N –107:10.32E,20.6875,107.17555555555556,13.997622027394414
Sea Holly,2016,Tanker,Boarded,Longkou,37:50.5N –120:01.9E,37.834722222222226,120.01916666666666,34.143119940771015
SBI Tango,2016,Bulk Carrier,Boarded,"Rizhao Port,",35:21.5N –119:32.0E,35.35138888888889,119.53333333333333,6.972803131464576
Warramboo,2016,Ore Carrier,Boarded,Jingtang,38:55.5N –119:13.8E,38.918055555555554,119.21888888888888,62.76952030359538
Pacific Jasmine,2016,Bulk Carrier,Boarded,Vung Tau,10:16.03N –107:01.83E,10.2675,107.03972222222222,9.958527378026048
Atlantica,2016,Bulk Carrier,Boarded,Vung Tau,10:15.50N –107:01.26E,10.26388888888889,107.02388888888889,11.233740196469563
Apollo Rikuyo,2016,General Cargo,Boarded,Vung Tau,10:15.3N –107:01.0E,10.250833333333333,107.01666666666667,12.868592186654137
CMB Medoc,2016,Bulk Carrier,Boarded,Kandla OTB,22:46.5N –069:59.0E,22.768055555555556,69.98333333333333,27.973194801618938
Pacific Warlock,2016,Tug Singapore,Boarded,Around 11nm,21:14.4N –072:16.6E,21.234444444444446,72.26833333333333,20.590229314912353
New Challenge,2016,Tanker,Boarded,Visakhapatnam,17:35.4N –083:24.9E,17.584444444444443,83.4025,15.906271886290376
Lycaste Peace,2016,LPG Tanker,Boarded,Visakhapatnam,17:37.1N –083:22.0E,17.616944444444446,83.36666666666666,10.848172774899144
AAL Kobe,2016,General Cargo,Boarded,Guanta,10:16.3N –064:34.3W,10.2675,-64.5675,4.878593218834019
Prime Express,2016,Product Tanker,Boarded,Callao Anchorage,12:01.34S –077:13.32W,-12.026111111111112,-77.22555555555556,10.30642249968689
Irmgard Schulte,2016,LPG Tanker,Boarded,Puerto Jose,10:11.3N –064:47.0W,10.184166666666666,-64.78333333333333,10.03463096955731
Name Withheld,2016,Product Tanker,Boarded,Mamonal Tanker,10:18.7N –075:32.8W,10.301944444444445,-75.53555555555555,10.757874159077991
Albatross,2016,Heavy Load Carrier,Boarded,Cartagena,10:18.4N –075:33.4W,10.301111111111112,-75.55111111111111,12.364099425089545
Amstel Falcon,2016,Bulk Carrier,Boarded,Callao,12:01.0S –077:10.9W,-12.016666666666667,-77.16916666666667,5.402185240810468
Americas Spirit,2016,Tanker,Boarded,Barcelona,10:09.7N –064:46.8W,10.151944444444444,-64.76888888888888,9.023843189969476
Century Melody,2016,Bulk Carrier,Boarded,Port Au Prince,18:34.4N –072:32.6W,18.567777777777778,-72.535,3.0976343457618327
Sea Lion I,2016,Product Tanker,Boarded,Ango Ango,05:50.5S –013:25.9E,-5.834722222222222,13.419166666666666,4.8799966593318675
Canal Street,2016,Product Tanker,Boarded,Mbaraki Wharf,04:04.6S –039:39.8E,-4.068333333333333,39.65222222222222,1.9696513237817206
Puli Product Tanker,2016,Malta,Boarded,Around 118nm,02:48.4N –006:40.9E,2.801111111111111,6.669166666666667,153.18843636745018
CMA CGM,2016,Turquoise,Boarded,Around 30nm,04:08.02N –005:23.05E,4.133888888888889,5.384722222222223,97.0793238983574
Sea Emperor,2016,Product Tanker,Boarded,Lome,06:05.7N –001:15.0E,6.085277777777778,1.25,5.746768051215976
NGOL Cunene,2016,Product Tanker,Boarded,Luanda,08:44.7S –013:17.9E,-8.735277777777776,13.285833333333333,12.579654048851298
Teal Heavy Lift Vessel,2016,Curacao,Boarded,Conakry,09:23.6N –013:41.9W,9.385,-13.685833333333333,16.592018874558626
Lewek,2016,Constellation,Boarded,Pointe Noire,04:47.0S –011:47.9E,-4.783333333333333,11.785833333333333,8.53036618562762
MR Aquarius,2016,Product Tanker,Boarded,Capital,06:26.1N –003:19.6E,6.433611111111111,3.318333333333333,2.4570265789938492
Walnut Express,2016,Product Tanker,Boarded,Folawiyo,06:26.00N –003:22.13E,6.433333333333334,3.370277777777778,2.116420172905727
Vectis Osprey,2016,General Cargo,Boarded,Around 28nm,03:54.50N –007:09.30E,3.9138888888888888,7.158333333333334,59.476150092052734
Aisha Sarwar,2016,Bulk Carrier,Boarded,Around 5.5nm,09:24.5N –013:43.3W,9.401388888888889,-13.7175,15.13405638372333
Windhoek,2016,Container,Boarded,Conakry,09:18.47N –013:45.51W,9.313055555555556,-13.764166666666666,25.94190778676365
Danubia,2016,Product Tanker,Attempted,"Talara Roads,",04:33.9S –081:18.6W,-4.5525,-81.30166666666666,4.284159902638001
Pskov,2016,LNG Tanker,Attempted,Around 16nm SW,04:09.7N –006:58.3E,4.151944444444445,6.9675,40.08750885494391
Nordic Freedom,2016,Tanker,Attempted,Around 78nm SW,03:18.6N –005:23.9E,3.3016666666666663,5.385833333333334,146.66297526009214
